Date,Open,High,Low,Close
2018.04.30 20:00,1.20804,1.20814,1.20804,1.20814
2023.05.01 00:00,1.10106,1.10143,1.10007,1.1014
2023.05.01 04:00,1.10143,1.10143,1.09947,1.10033
2023.05.01 08:00,1.10033,1.1014,1.09882,1.10133
2023.05.01 12:00,1.10134,1.10355,1.09661,1.09692
2023.05.01 16:00,1.09692,1.09756,1.09643,1.09727
2023.05.01 20:00,1.09727,1.09766,1.09672,1.09687
2023.05.02 00:00,1.09687,1.09943,1.09685,1.09839
2023.05.02 04:00,1.0984,1.10066,1.0979,1.09855
2023.05.02 08:00,1.09855,1.09865,1.0948,1.09676
2023.05.02 12:00,1.09676,1.09975,1.09422,1.09965
2023.05.02 16:00,1.09964,1.10078,1.0994,1.10057
2023.05.02 20:00,1.10057,1.10137,1.09975,1.10107
2023.05.03 00:00,1.1011,1.10297,1.10048,1.10294
2023.05.03 04:00,1.10294,1.10411,1.10142,1.10343
2023.05.03 08:00,1.10344,1.10468,1.10296,1.10395
2023.05.03 12:00,1.10396,1.10593,1.1022,1.10478
2023.05.03 16:00,1.10478,1.10916,1.10371,1.10544
2023.05.03 20:00,1.10544,1.1078,1.10515,1.10685
2023.05.04 00:00,1.10686,1.10875,1.10686,1.10812
2023.05.04 04:00,1.10812,1.10917,1.10521,1.10578
2023.05.04 08:00,1.10578,1.10765,1.10364,1.10743
2023.05.04 12:00,1.10743,1.10842,1.0986,1.10082
2023.05.04 16:00,1.10083,1.10315,1.10079,1.10146
2023.05.04 20:00,1.10145,1.10244,1.10095,1.10229
2023.05.05 00:00,1.10229,1.10444,1.10188,1.10439
2023.05.05 04:00,1.10441,1.10477,1.10256,1.10267
2023.05.05 08:00,1.10268,1.10319,1.10085,1.10093
2023.05.05 12:00,1.10092,1.10267,1.09667,1.10245
2023.05.05 16:00,1.10246,1.10365,1.10096,1.10182
2023.05.05 20:00,1.10183,1.10197,1.10154,1.10162
2023.05.07 20:00,1.10209,1.10228,1.10141,1.10181
2023.05.08 00:00,1.10182,1.10399,1.10167,1.1039
2023.05.08 04:00,1.1039,1.10505,1.10366,1.10492
2023.05.08 08:00,1.10491,1.10535,1.10227,1.1035
2023.05.08 12:00,1.10349,1.10442,1.10115,1.10196
2023.05.08 16:00,1.10197,1.10292,1.10001,1.10017
2023.05.08 20:00,1.10016,1.10054,1.09953,1.09965
2023.05.09 00:00,1.09962,1.09974,1.09849,1.09936
2023.05.09 04:00,1.09939,1.10007,1.09727,1.09779
2023.05.09 08:00,1.0978,1.09862,1.0959,1.09635
